GVT,Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
1772.094981,0,1,3,3.000000,256,0,149,0,-39.252336,0,0.000000,11,10.280374,32,15,17,1,107,81,123
1796.742608,0,1,3,3.000000,256,0,158,0,-61.224490,0,0.000000,18,18.367347,32,10,22,1,98,94,98
1823.353231,0,1,3,3.000000,256,0,161,0,-69.473684,0,0.000000,16,16.842105,34,15,19,1,95,110,93
1852.397353,0,1,3,3.000000,256,0,93,0,42.944785,0,0.000000,27,16.564417,32,13,19,1,163,71,107
1885.119511,0,1,3,3.000000,256,0,88,0,47.619048,0,0.000000,28,16.666667,21,15,6,1,168,62,75
1916.947641,0,1,3,3.000000,256,0,117,0,15.827338,0,0.000000,21,15.107914,21,12,9,1,139,111,64
1937.763395,0,1,3,3.000000,256,0,111,0,23.448276,0,0.000000,25,17.241379,12,8,4,1,145,99,70
1965.859315,0,1,3,3.000000,256,0,110,0,24.657534,0,0.000000,21,14.383562,24,10,14,1,146,61,62
1989.379019,0,1,3,3.000000,256,0,87,0,48.520710,0,0.000000,33,19.526627,19,2,17,1,169,79,72
1997.209320,0,1,3,3.000000,256,0,182,0,-145.945946,0,0.000000,14,18.918919,44,12,32,1,74,100,110
2007.041984,0,1,3,3.000000,256,0,214,0,-409.523810,0,0.000000,7,16.666667,46,14,32,1,42,73,100
2020.518911,0,1,3,3.000000,256,0,189,0,-182.089552,0,0.000000,15,22.388060,44,13,31,1,67,75,126
2033.296391,0,1,3,3.000000,256,0,116,0,17.142857,0,0.000000,20,14.285714,24,11,13,1,140,80,97
2045.013035,0,1,3,3.000000,256,0,235,0,-1019.047619,0,0.000000,5,23.809524,45,15,30,1,21,131,96
2059.142741,0,1,3,3.000000,256,0,218,0,-473.684211,0,0.000000,8,21.052632,42,10,32,1,38,116,97
2080.822557,0,1,3,3.000000,256,0,165,0,-81.318681,0,0.000000,21,23.076923,39,9,30,1,91,109,49
2095.737782,0,1,3,3.000000,256,0,153,0,-48.543689,0,0.000000,15,14.563107,34,10,24,1,103,83,111
2113.285852,0,1,3,3.000000,256,0,195,0,-219.672131,0,0.000000,12,19.672131,43,11,32,1,61,90,81
2141.150565,0,1,3,3.000000,256,0,97,0,38.993711,0,0.000000,33,20.754717,20,7,13,1,159,95,80
2162.171658,0,1,3,3.000000,256,0,189,0,-182.089552,0,0.000000,11,16.417910,37,14,23,1,67,99,119
2179.531929,0,1,3,3.000000,256,0,152,0,-46.153846,0,0.000000,16,15.384615,27,13,14,1,104,102,111
2206.495163,0,1,3,3.000000,256,0,105,0,30.463576,0,0.000000,28,18.543046,21,12,9,1,151,102,88
2221.565356,0,1,3,3.000000,256,0,98,0,37.974684,0,0.000000,31,19.620253,21,10,11,1,158,85,59
2231.123664,0,1,3,3.000000,256,0,206,0,-312.000000,0,0.000000,8,16.000000,35,10,25,1,50,120,76
2257.319794,0,1,3,3.000000,256,0,163,0,-75.268817,0,0.000000,12,12.903226,34,11,23,1,93,92,78
2280.677775,0,1,3,3.000000,256,0,167,0,-87.640449,0,0.000000,19,21.348315,34,9,25,1,89,95,99
2303.040716,0,1,3,3.000000,256,0,127,0,1.550388,0,0.000000,21,16.279070,26,10,16,1,129,89,69
2326.905077,0,1,3,3.000000,256,0,123,0,7.518797,0,0.000000,21,15.789474,28,12,16,1,133,77,58
2353.667292,0,1,3,3.000000,256,0,90,0,45.783133,0,0.000000,30,18.072289,18,10,8,1,166,82,64
2379.347730,0,1,3,3.000000,256,0,196,0,-226.666667,0,0.000000,10,16.666667,35,11,24,1,60,94,82
2396.735649,0,1,3,3.000000,256,0,139,0,-18.803419,0,0.000000,18,15.384615,33,12,21,1,117,84,109
2429.733528,0,1,3,3.000000,256,0,108,0,27.027027,0,0.000000,29,19.594595,32,14,18,1,148,73,84
2446.353112,0,1,3,3.000000,256,0,123,0,7.518797,0,0.000000,20,15.037594,27,13,14,1,133,90,83
2478.346772,0,1,3,3.000000,256,0,93,0,42.944785,0,0.000000,32,19.631902,21,11,10,1,163,84,94
2497.432598,0,1,3,3.000000,256,0,105,0,30.463576,0,0.000000,33,21.854305,26,11,15,1,151,77,80
2516.501922,0,1,3,3.000000,256,0,205,0,-301.960784,0,0.000000,9,17.647059,48,16,32,1,51,63,87
2528.570680,0,1,3,3.000000,256,0,141,0,-22.608696,0,0.000000,16,13.913043,30,10,20,1,115,50,91
2547.341899,0,1,3,3.000000,256,0,192,0,-200.000000,0,0.000000,9,14.062500,33,11,22,1,64,63,92
2570.271532,0,1,3,3.000000,256,0,146,0,-32.727273,0,0.000000,20,18.181818,34,13,21,1,110,82,83
2605.683509,0,1,3,3.000000,256,0,83,0,52.023121,0,0.000000,30,17.341040,22,10,12,1,173,58,74
2623.207435,0,1,3,3.000000,256,0,161,0,-69.473684,0,0.000000,16,16.842105,40,8,32,1,95,70,63
2628.018535,0,1,3,3.000000,256,0,169,0,-94.252874,0,0.000000,12,13.793103,31,11,20,1,87,114,77
2651.684716,0,1,3,3.000000,256,0,186,0,-165.714286,0,0.000000,14,20.000000,45,10,35,1,70,96,75
2661.425769,0,1,3,3.000000,256,0,102,0,33.766234,0,0.000000,31,20.129870,28,9,19,1,154,73,77
2665.938838,0,1,3,3.000000,256,0,291,0,100.000000,0,0.000000,-8,100.000000,67,20,47,1,-35,100,146
2681.436680,0,1,3,3.000000,256,0,202,0,-274.074074,0,0.000000,7,12.962963,52,13,39,1,54,77,145
2691.178448,0,1,3,3.000000,256,0,154,0,-50.980392,0,0.000000,19,18.627451,34,9,25,1,102,89,123
2713.134834,0,1,3,3.000000,256,0,213,0,-395.348837,0,0.000000,12,27.906977,38,15,23,1,43,150,115
2732.554483,0,1,3,3.000000,256,0,137,0,-15.126050,0,0.000000,20,16.806723,37,11,26,1,119,88,110
2749.803886,0,1,3,3.000000,256,0,156,0,-56.000000,0,0.000000,19,19.000000,36,7,29,1,100,85,111
2768.439692,0,1,3,3.000000,256,0,164,0,-78.260870,0,0.000000,15,16.304348,44,16,28,1,92,111,106
2781.710375,0,1,3,3.000000,256,0,127,0,1.550388,0,0.000000,24,18.604651,34,13,21,1,129,96,92
2791.546061,0,1,3,3.000000,256,0,156,0,-56.000000,0,0.000000,16,16.000000,29,11,18,1,100,106,117
