gvt,PE_0,PE_1,PE_2,PE_3,PE_4,PE_5,PE_6,PE_7,PE_8,PE_9,PE_10,PE_11,PE_12,PE_13,PE_14,PE_15
4106.909180,18,13,7,27,7,3,5,26,24,11,19,20,16,14,11,12
4134.972168,14,17,21,14,21,11,6,21,11,17,11,21,11,15,11,11
4166.073242,17,17,14,22,18,18,7,20,16,11,15,16,11,8,26,6
4193.605957,21,20,20,27,21,13,10,23,21,7,13,15,26,14,12,4
4223.321289,22,13,16,25,19,12,3,23,24,7,25,26,19,15,18,17
4253.322754,28,20,23,26,14,15,6,19,16,21,13,29,5,24,10,22
4281.896484,29,34,24,44,19,31,19,26,37,16,27,53,18,21,29,15
4318.692871,35,31,20,38,23,52,14,34,50,33,19,37,34,41,23,33
4345.354980,40,34,28,28,21,31,20,44,32,19,16,36,9,16,35,10
4374.046387,20,16,16,29,15,10,15,26,19,13,13,19,9,18,24,10
4406.331055,23,8,24,27,12,11,12,18,27,15,9,32,9,17,18,10
4436.754883,15,17,22,21,15,19,6,23,30,13,20,30,6,14,29,10
4465.435059,26,28,21,29,28,19,16,42,30,16,29,41,32,5,17,8
4497.408203,15,18,10,17,10,14,6,17,16,11,11,15,13,13,10,6
4526.989258,25,15,18,26,15,21,17,10,23,24,18,12,16,13,32,19
4560.643066,31,23,21,20,23,13,16,36,17,21,24,28,21,14,34,12
4588.230957,12,8,15,22,7,22,3,19,20,10,14,20,3,13,10,8
4615.173340,18,12,8,17,4,20,4,19,27,13,19,25,7,7,21,11
4650.992188,40,26,41,33,38,9,16,33,27,35,36,42,30,20,16,17
4679.027832,10,19,19,26,32,22,9,29,21,20,26,31,14,10,32,26
4703.542969,8,13,5,15,5,19,5,24,8,12,15,17,7,4,7,5
4733.505859,12,17,28,19,7,21,4,18,19,21,12,26,6,24,23,16
4763.822266,20,19,20,26,26,10,9,36,21,9,21,15,10,9,21,16
4792.379395,22,17,20,22,16,11,10,20,30,22,13,22,6,7,17,9
4829.516602,19,29,36,44,36,17,22,25,42,25,30,46,23,25,70,19
4856.428711,22,16,18,24,25,14,13,43,22,25,23,38,14,17,14,13
4894.341309,23,15,29,30,23,12,20,30,27,30,12,40,14,17,23,16
4923.360352,16,21,20,22,30,26,8,29,18,12,14,47,23,18,29,16
4957.462402,35,23,25,44,35,26,18,55,22,46,24,45,20,21,65,25
4986.474121,25,32,26,24,25,28,17,31,37,22,21,36,13,24,25,11
5018.539062,18,30,26,22,23,12,6,19,20,20,15,30,7,13,11,15
5045.735352,15,13,24,25,9,23,15,20,19,26,16,24,13,14,25,14
5072.506348,16,22,19,32,31,23,19,55,26,17,19,16,16,9,24,15
5100.810547,16,16,20,19,17,14,6,23,25,10,12,28,16,11,14,11
5132.255859,25,18,18,14,7,8,11,22,21,6,11,17,6,14,11,10
5163.381836,22,28,17,43,20,28,13,24,28,32,28,31,19,18,33,13
5178.385254,7,17,23,10,10,11,20,14,7,6,8,31,8,9,15,21
5213.286621,13,21,14,22,10,10,14,16,21,17,17,36,9,16,24,8
5248.799805,20,17,36,29,30,25,12,30,27,35,31,37,33,17,14,19
5273.447266,28,20,26,28,27,17,8,37,12,22,21,28,18,14,19,34
5301.976562,18,16,26,13,7,7,18,17,16,16,21,24,10,6,25,13
5326.282715,14,13,16,21,21,19,4,34,19,16,23,25,10,15,24,18
5352.510254,15,21,15,18,20,21,12,30,18,13,25,28,12,5,22,22
5374.790039,17,20,16,15,15,15,10,9,13,21,15,9,8,2,27,6
5393.380371,16,6,6,13,15,3,7,18,4,11,16,14,8,7,12,10
5415.985840,17,15,13,18,15,9,7,13,12,14,14,19,6,13,10,10
5452.594238,14,12,19,24,11,16,8,22,7,14,13,15,9,22,25,5
5474.232910,9,11,10,7,17,15,12,15,22,17,8,8,10,17,9,9
5497.482422,14,21,8,14,15,16,10,13,19,11,12,17,5,6,10,3
5525.571289,18,14,14,17,16,9,7,18,14,21,23,23,16,8,18,13
5544.360840,9,4,4,10,3,3,0,8,2,6,10,6,4,6,4,7
5559.404785,3,8,3,12,9,7,4,10,8,7,6,4,3,5,13,7
5584.367676,14,9,15,14,8,12,7,14,9,2,23,16,7,11,13,8
5607.445801,15,11,13,23,9,17,7,29,24,13,15,23,10,9,17,9
5629.405762,26,21,24,25,15,15,10,19,23,17,26,25,26,15,19,13
5653.237793,12,13,16,24,20,24,13,33,17,22,21,19,6,21,9,6
5683.584473,30,14,22,17,19,14,17,12,19,19,16,18,17,17,30,16
5714.615723,12,13,13,24,20,12,14,15,30,18,18,19,9,6,15,12
5747.839355,17,16,17,22,22,10,13,28,18,22,19,28,22,15,22,16
5768.478516,7,5,11,3,6,2,3,18,8,4,8,12,1,2,7,5
5793.861816,13,3,11,23,12,3,5,16,8,17,14,20,4,6,16,9
5821.971191,12,7,13,16,9,9,6,8,9,10,11,11,5,14,12,8
5846.589355,14,7,13,17,10,11,4,16,15,6,15,15,6,10,13,3
5876.373047,25,15,22,15,23,12,18,24,24,11,12,24,12,11,24,16
5899.259277,10,13,7,22,14,6,8,20,13,13,10,10,8,15,21,9
5919.287109,11,2,6,5,5,9,3,7,5,10,7,13,3,3,3,11
5940.119629,11,8,20,19,9,12,4,26,18,10,22,20,6,14,13,8
5966.326660,28,10,13,20,20,12,3,19,9,14,11,5,10,16,14,16
6000.556641,21,17,12,31,10,13,17,42,18,10,11,18,14,17,15,23
6024.759277,23,26,36,25,33,46,10,44,22,24,28,47,21,30,32,29
6048.488281,9,13,10,11,17,29,9,12,11,25,24,17,8,18,17,4
6072.891602,4,3,10,16,13,6,4,39,6,21,9,29,3,7,7,10
6089.047363,13,12,3,14,14,3,1,12,6,10,5,13,12,2,11,4
6109.019043,7,10,12,13,10,12,4,17,12,17,10,8,7,6,7,17
6138.012207,21,16,24,23,12,19,12,10,8,9,9,24,19,16,17,11
6167.454590,14,12,8,22,9,18,5,22,21,12,14,15,2,14,17,16
6199.614746,16,25,17,23,14,16,7,11,24,21,11,14,4,11,18,16
6226.677246,12,9,23,20,9,20,7,20,12,16,15,36,14,8,11,14
6257.861816,28,20,14,41,17,19,17,18,30,19,21,28,9,28,20,7
6296.791504,21,14,38,39,19,24,7,31,35,18,24,18,11,16,34,16
6329.500000,39,23,18,31,36,20,23,46,23,15,25,38,40,27,36,18
6364.385254,32,34,33,38,27,11,14,33,32,19,25,29,14,14,28,12
6397.548340,4,11,10,10,14,7,5,14,15,17,9,14,6,9,14,11
6428.574707,15,15,23,19,9,8,11,9,11,12,13,22,6,15,9,10
6459.240723,28,17,26,46,31,17,20,42,29,26,17,39,11,35,19,27
6485.019531,13,17,24,22,12,21,6,27,22,10,20,22,12,14,15,10
6499.393066,4,7,10,8,5,7,13,15,6,18,9,9,3,1,4,0
6531.356934,32,21,25,28,27,22,9,24,35,12,28,17,13,33,36,22
6554.619629,2,7,5,11,8,8,2,10,24,3,6,12,9,5,11,6
6578.962402,24,15,16,33,2,7,1,24,22,20,13,27,4,15,26,14
6606.470703,3,10,14,18,14,7,8,21,15,24,13,28,4,5,14,8
6632.858398,8,9,15,3,12,10,11,15,13,14,1,5,5,1,18,5
6655.030762,9,8,4,14,8,2,1,15,9,2,7,22,4,10,5,9
6675.341797,24,13,7,11,17,12,10,20,17,19,9,8,16,14,19,15
6705.009277,20,16,16,25,10,19,10,17,22,17,44,22,26,6,9,16
6734.818848,6,14,17,15,12,21,8,3,15,13,10,14,11,13,6,10
6752.867188,6,16,2,13,7,14,5,15,25,16,8,8,6,14,9,4
6789.214844,23,16,23,20,22,5,9,22,23,18,18,22,14,15,25,20
6814.413574,14,8,15,20,10,12,10,12,14,3,9,16,12,6,9,5
6836.457031,12,7,9,11,1,8,7,3,6,9,10,19,8,12,5,7
6864.948242,14,13,7,17,11,11,0,24,20,12,7,18,6,8,5,13
6888.548828,4,4,12,10,4,2,4,6,10,7,1,6,3,0,11,4
6923.598145,12,14,25,19,10,20,3,23,19,21,7,12,15,2,11,13
