gvt, PE_0, PE_1, PE_2, PE_3, PE_4, PE_5, PE_6, PE_7, PE_8, PE_9, PE_10, PE_11, PE_12, PE_13, PE_14, PE_15
88583.546875, 67, 68, 57, 66, 58, 57, 50, 66, 50, 68, 42, 42, 63, 45, 46, 61
88618.757812, 92, 87, 77, 78, 80, 70, 57, 75, 70, 79, 57, 61, 58, 62, 64, 89
88644.492188, 50, 66, 72, 64, 61, 68, 49, 65, 60, 64, 55, 48, 65, 55, 60, 49
88672.609375, 52, 63, 66, 62, 51, 64, 53, 61, 55, 61, 51, 51, 52, 46, 50, 59
88696.296875, 53, 29, 44, 43, 39, 41, 41, 44, 49, 50, 46, 39, 31, 39, 36, 41
88724.789062, 54, 60, 57, 60, 62, 61, 48, 60, 48, 64, 53, 40, 64, 35, 48, 51
88762.531250, 78, 101, 102, 76, 86, 80, 62, 73, 86, 73, 84, 62, 79, 75, 59, 100
88785.289062, 50, 43, 42, 37, 48, 52, 47, 58, 58, 38, 45, 51, 53, 43, 43, 43
88813.289062, 47, 72, 68, 48, 77, 58, 70, 74, 77, 62, 43, 69, 68, 47, 49, 68
88842.757812, 63, 67, 73, 61, 50, 63, 53, 67, 51, 70, 51, 53, 69, 58, 42, 75
88871.398438, 61, 66, 71, 66, 52, 59, 49, 53, 46, 63, 46, 51, 51, 48, 43, 63
88897.578125, 55, 56, 52, 46, 51, 51, 57, 58, 58, 63, 49, 68, 53, 48, 47, 70
88924.945312, 51, 104, 77, 58, 53, 55, 54, 90, 63, 81, 74, 81, 53, 63, 49, 73
88941.156250, 74, 20, 46, 62, 36, 58, 47, 50, 29, 36, 44, 37, 51, 39, 33, 70
88966.210938, 71, 72, 53, 41, 42, 43, 41, 52, 44, 48, 45, 54, 47, 39, 33, 61
88988.656250, 46, 69, 48, 40, 58, 45, 34, 55, 46, 54, 58, 40, 46, 39, 36, 50
89017.132812, 62, 66, 58, 53, 63, 54, 48, 55, 60, 50, 56, 40, 56, 55, 48, 60
89046.156250, 60, 67, 65, 46, 59, 66, 46, 50, 56, 62, 64, 53, 48, 48, 45, 65
89077.875000, 68, 75, 76, 74, 62, 67, 71, 70, 57, 48, 54, 54, 59, 69, 43, 81
89100.101562, 46, 59, 56, 43, 47, 49, 27, 54, 42, 63, 56, 53, 40, 43, 39, 46
89130.406250, 47, 55, 51, 64, 56, 60, 52, 43, 47, 59, 46, 43, 41, 42, 40, 52
89160.757812, 63, 58, 59, 59, 51, 62, 54, 61, 55, 61, 47, 57, 67, 44, 54, 79
89188.156250, 76, 78, 74, 71, 60, 57, 64, 88, 67, 78, 91, 61, 48, 57, 46, 100
89214.164062, 50, 54, 57, 53, 54, 51, 48, 68, 60, 45, 53, 55, 39, 48, 52, 81
89243.585938, 46, 54, 63, 54, 45, 69, 45, 52, 49, 52, 62, 40, 51, 42, 51, 63
89270.953125, 40, 51, 66, 57, 57, 60, 49, 51, 62, 64, 55, 48, 47, 52, 39, 90
89303.492188, 64, 81, 105, 67, 59, 68, 77, 54, 69, 74, 75, 67, 58, 60, 52, 101
89317.171875, 41, 40, 28, 36, 26, 26, 24, 31, 30, 39, 33, 30, 30, 31, 24, 29
89339.929688, 37, 32, 35, 41, 40, 43, 33, 49, 31, 29, 39, 33, 41, 33, 26, 39
89365.429688, 41, 57, 53, 61, 41, 44, 40, 51, 48, 49, 44, 47, 51, 35, 30, 84
89384.406250, 35, 56, 44, 31, 35, 42, 42, 47, 40, 54, 54, 53, 40, 39, 46, 36
89406.515625, 40, 47, 41, 48, 47, 43, 45, 50, 34, 51, 45, 54, 46, 39, 50, 55
89415.460938, 18, 19, 23, 36, 27, 17, 28, 23, 22, 16, 31, 30, 24, 16, 21, 45
89441.851562, 43, 46, 52, 51, 41, 46, 42, 64, 51, 45, 42, 42, 56, 44, 51, 59
89470.117188, 49, 56, 46, 56, 64, 53, 44, 54, 44, 59, 43, 49, 45, 39, 46, 71
89498.742188, 59, 52, 55, 64, 59, 58, 57, 64, 47, 73, 51, 42, 61, 50, 44, 59
89524.578125, 38, 53, 48, 47, 54, 59, 34, 50, 53, 57, 50, 52, 48, 33, 46, 92
89544.648438, 41, 34, 43, 43, 32, 27, 35, 38, 44, 45, 32, 40, 30, 33, 31, 46
89580.640625, 58, 55, 66, 70, 69, 76, 56, 61, 63, 50, 65, 65, 61, 51, 51, 118
89608.226562, 63, 73, 69, 74, 57, 65, 50, 69, 56, 67, 85, 70, 52, 48, 68, 74
89640.898438, 71, 65, 61, 59, 58, 69, 55, 53, 50, 65, 74, 66, 46, 53, 67, 59
89654.187500, 38, 31, 46, 29, 27, 31, 40, 37, 44, 45, 42, 28, 28, 31, 27, 38
89669.796875, 21, 34, 21, 25, 31, 25, 11, 29, 27, 30, 22, 29, 36, 22, 22, 40
89690.570312, 33, 36, 46, 41, 52, 35, 40, 41, 49, 49, 56, 26, 35, 34, 39, 48
89719.609375, 82, 48, 61, 56, 54, 47, 50, 63, 51, 47, 62, 47, 47, 50, 52, 66
89754.164062, 77, 60, 65, 63, 60, 77, 44, 65, 60, 53, 67, 51, 55, 68, 53, 66
89777.203125, 44, 51, 41, 57, 50, 39, 49, 50, 55, 57, 61, 56, 47, 47, 52, 75
89804.531250, 54, 55, 71, 57, 49, 55, 44, 42, 74, 47, 52, 42, 49, 53, 63, 53
89831.375000, 52, 55, 53, 42, 45, 60, 59, 51, 52, 51, 56, 52, 45, 52, 45, 67
89853.203125, 47, 42, 45, 53, 34, 46, 39, 36, 30, 43, 45, 35, 34, 31, 46, 50
89876.046875, 29, 48, 45, 40, 45, 51, 40, 47, 39, 45, 39, 37, 38, 40, 33, 49
89901.851562, 55, 44, 51, 44, 39, 37, 46, 42, 42, 36, 58, 31, 36, 41, 35, 50
89932.359375, 61, 60, 66, 71, 52, 73, 61, 58, 62, 75, 60, 52, 67, 49, 48, 92
89959.085938, 40, 53, 58, 43, 47, 45, 50, 53, 47, 51, 51, 45, 53, 45, 41, 59
89976.304688, 28, 39, 38, 25, 27, 36, 22, 32, 36, 33, 49, 32, 28, 28, 33, 33
